CODIGO	TITULO	AUTOR	ANIO
5931	Libro776	AUTOR776	1975
5932	Libro777	AUTOR777	1976
5933	Libro778	AUTOR778	1977
5934	Libro779	AUTOR779	1978
5935	Libro780	AUTOR780	1979
5936	Libro781	AUTOR781	1980
5937	Libro782	AUTOR782	1981
5938	Libro783	AUTOR783	1982
5939	Libro784	AUTOR784	1983
5940	Libro785	AUTOR785	1984
5941	Libro786	AUTOR786	1985
5942	Libro787	AUTOR787	1986
5943	Libro788	AUTOR788	1987
5944	Libro789	AUTOR789	1988
5945	Libro790	AUTOR790	1989
5946	Libro791	AUTOR791	1990
5947	Libro792	AUTOR792	1991
5948	Libro793	AUTOR793	1992
5949	Libro794	AUTOR794	1993
5950	Libro795	AUTOR795	1994
5951	Libro796	AUTOR796	1995
5952	Libro797	AUTOR797	1996
5953	Libro798	AUTOR798	1997
5954	Libro799	AUTOR799	1998
5955	Libro800	AUTOR800	1999
